TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,VisitModeName,ContinentId,RegionId,CountryId,CityId,UserCityName,UserCountry,UserRegion,UserContinent,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionCityName,AttractionCountryId,AttractionCountry,AttractionType,user_total_visits,user_avg_rating,attraction_total_visits,attraction_avg_rating
69024,68981,2018,10,2,748,5,Couples,5,21,163,1743.0,Reading,United Kingdom,Western Europe,Europe,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,3,4.333333333333333,5815,4.157523645743766
69621,77600,2017,11,2,748,5,Couples,3,13,93,2819.0,Mumbai,India,South Asia,Asia,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,4,3.5,5815,4.157523645743766
34452,55414,2016,2,2,673,3,Couples,5,21,163,8599.0,Marlow,United Kingdom,Western Europe,Europe,1,13,Seminyak Beach,Seminyak,Douala,1,Cameroon,Beaches,2,3.5,2914,3.800617707618394
1719,54292,2019,7,3,640,4,Family,5,21,163,1276.0,kent,United Kingdom,Western Europe,Europe,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,4.0,13198,4.267085922109411
66893,86655,2019,8,2,748,5,Couples,5,17,135,1967.0,Switzerland,Switzerland,Central Europe,Europe,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,2,4.0,5815,4.157523645743766
49793,32544,2016,11,2,824,4,Couples,3,14,106,3551.0,Singapore,Singapore,South East Asia,Asia,1,76,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",Douala,1,Cameroon,Religious Sites,3,4.0,3359,4.219410538850848
206555,36155,2017,1,4,1238,5,Friends,3,14,106,3551.0,Singapore,Singapore,South East Asia,Asia,3,2,Sewu Temple,Yogyakarta,N'Djamena,2,Chad,Ancient Ruins,2,5.0,377,4.124668435013263
43603,7725,2015,10,2,650,4,Couples,3,14,101,3013.0,Bali,Indonesia,South East Asia,Asia,1,13,Sanur Beach,Sanur,Douala,1,Cameroon,Beaches,1,4.0,3044,3.97634691195795
12245,87120,2015,12,3,640,5,Family,4,15,109,3687.0,Adelaide,Australia,Australia,Australia & Oceania,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,2,5.0,13198,4.267085922109411
146203,30168,2017,11,3,369,5,Family,3,14,108,3668.0,Hoi An,Vietnam,South East Asia,Asia,1,13,Kuta Beach - Bali,Kuta,Douala,1,Cameroon,Beaches,2,5.0,2765,3.415189873417721
8768,69499,2016,12,2,640,4,Couples,5,21,163,1870.0,Shrewsbury,United Kingdom,Western Europe,Europe,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,4.0,13198,4.267085922109411
144335,3993,2015,3,2,369,2,Couples,5,21,163,8885.0,South Yorkshire,United Kingdom,Western Europe,Europe,1,13,Kuta Beach - Bali,Kuta,Douala,1,Cameroon,Beaches,2,2.5,2765,3.415189873417721
26069,65723,2016,5,3,841,3,Family,5,17,135,583.0,Zurich,Switzerland,Central Europe,Europe,1,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",Douala,1,Cameroon,Water Parks,2,3.5,6429,4.646601337688598
69941,82042,2018,4,3,748,5,Family,4,15,109,3687.0,Adelaide,Australia,Australia,Australia & Oceania,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,2,4.5,5815,4.157523645743766
4188,70366,2018,6,2,640,4,Couples,5,21,163,8802.0,Romford,United Kingdom,Western Europe,Europe,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,4.0,13198,4.267085922109411
